0.019059,0.029355
0.094551,0.119925
0.162674,0.200224
0.218120,0.263376
0.256568,0.303973
0.275021,0.318539
0.272043,0.305826
0.247864,0.266923
0.204370,0.205161
0.144949,0.125829
0.365434,0.212708
0.557441,0.281370
0.706008,0.325937
0.799555,0.342592
0.830793,0.329907
0.797289,0.288970
0.701652,0.223287
0.551335,0.138481
0.358053,0.041816
0.136869,-0.058429
0.180061,-0.345202
0.209220,-0.602413
0.222075,-0.808035
0.217625,-0.944458
0.196214,-1.000000
0.159513,-0.969904
0.110381,-0.856748
0.052647,-0.670222
-0.009189,-0.426300
-0.070310,-0.145871
-0.265266,-0.219363
-0.439551,-0.274069
-0.579581,-0.305305
-0.674445,-0.310395
-0.716750,-0.288903
-0.703199,-0.242671
-0.634848,-0.175657
-0.517023,-0.093600
-0.358907,-0.003527
-0.172822,0.086848
-0.317608,0.268808
-0.437644,0.427747
-0.523574,0.550056
-0.568702,0.625259
-0.569511,0.646916
-0.525939,0.613173
-0.441380,0.526919
-0.322425,0.395541
-0.178344,0.230290
-0.020364,0.045317
